n_samples,n_groups,max,distribution,simulation,distribution_truth,distribution_pred,varied,99_perc
80,6,0.14375,uniform,relative_difference_per_class,,,,0.12710416666666663
100,6,0.13666666666666666,uniform,relative_difference_per_class,,,,0.11503333333333329
120,6,0.1513888888888889,uniform,relative_difference_per_class,,,,0.10416666666666663
140,6,0.125,uniform,relative_difference_per_class,,,,0.09880952380952379
160,6,0.11875,uniform,relative_difference_per_class,,,,0.0916770833333333
180,6,0.11203703703703702,uniform,relative_difference_per_class,,,,0.0842685185185185
200,6,0.09416666666666668,uniform,relative_difference_per_class,,,,0.08084166666666669
220,6,0.09545454545454546,uniform,relative_difference_per_class,,,,0.0757651515151515
240,6,0.08611111111111111,uniform,relative_difference_per_class,,,,0.07013888888888889
260,6,0.08525641025641026,uniform,relative_difference_per_class,,,,0.06923717948717949
280,6,0.09226190476190477,uniform,relative_difference_per_class,,,,0.06666666666666665
300,6,0.08277777777777778,uniform,relative_difference_per_class,,,,0.06444999999999997
400,6,0.07999999999999999,uniform,relative_difference_per_class,,,,0.06042083333333334
600,6,0.07027777777777777,uniform,relative_difference_per_class,,,,0.04945277777777778
800,6,0.056249999999999994,uniform,relative_difference_per_class,,,,0.04208750000000002
1000,6,0.05049999999999999,uniform,relative_difference_per_class,,,,0.03817166666666668
20,8,0.36874999999999997,uniform,relative_difference_per_class,,,,0.2688125
40,8,0.278125,uniform,relative_difference_per_class,,,,0.190625
60,8,0.20208333333333334,uniform,relative_difference_per_class,,,,0.15000000000000002
80,8,0.15625,uniform,relative_difference_per_class,,,,0.13124999999999998
100,8,0.14875,uniform,relative_difference_per_class,,,,0.1225125
120,8,0.15000000000000002,uniform,relative_difference_per_class,,,,0.10521875
140,8,0.1401785714285714,uniform,relative_difference_per_class,,,,0.10178571428571426
160,8,0.12578124999999998,uniform,relative_difference_per_class,,,,0.0945390625
180,8,0.10972222222222222,uniform,relative_difference_per_class,,,,0.0868263888888889
200,8,0.09812500000000002,uniform,relative_difference_per_class,,,,0.08125624999999996
220,8,0.09772727272727272,uniform,relative_difference_per_class,,,,0.07613636363636361
240,8,0.09114583333333334,uniform,relative_difference_per_class,,,,0.07291666666666666
260,8,0.08894230769230771,uniform,relative_difference_per_class,,,,0.07116346153846152
280,8,0.08928571428571427,uniform,relative_difference_per_class,,,,0.06786160714285712
300,8,0.09,uniform,relative_difference_per_class,,,,0.06667083333333335
400,8,0.08249999999999999,uniform,relative_difference_per_class,,,,0.060628124999999984
600,8,0.07208333333333333,uniform,relative_difference_per_class,,,,0.051875000000000004
800,8,0.058437499999999976,uniform,relative_difference_per_class,,,,0.042351562499999953
1000,8,0.05174999999999996,uniform,relative_difference_per_class,,,,0.038126249999999966
20,20,0.3975,uniform,relative_difference_per_class,,,,0.28500000000000003
40,20,0.29375,uniform,relative_difference_per_class,,,,0.20375
